CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C17705,976.390024,1.0,785.4,785.4,0.0,347.15722,0.333333,0.333333,0.0,0.25,3,6,3500.0,820.342892,251.963424,0.0,12
C18401,1606.875936,1.0,1863.48,1302.0,561.48,0.0,0.666667,0.083333,0.666667,0.0,0,20,6500.0,698.65014,328.146908,0.0,12
C16052,20.447524,0.727273,306.99,0.0,306.99,0.0,0.5,0.0,0.416667,0.0,0,9,3000.0,336.09467,176.826409,1.0,12
C15732,828.013302,1.0,126.48,0.0,126.48,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,301.728915,224.641178,0.0,12
C17015,230.337567,0.727273,2219.39,287.0,1932.39,0.0,1.0,0.333333,0.916667,0.0,0,37,2000.0,1044.263246,120.655535,0.0,12
C11550,432.385707,1.0,2171.86,1048.28,1123.58,138.67751,0.833333,0.416667,0.416667,0.083333,1,20,1200.0,1980.281176,195.203093,0.0,12
C12610,95.853493,0.545455,796.9,0.0,796.9,0.0,0.75,0.0,0.75,0.0,0,9,1950.0,1475.770687,160.568063,0.222222,12
C12363,1466.91925,1.0,0.0,0.0,0.0,37.691257,0.0,0.0,0.0,0.166667,2,0,1500.0,323.642185,429.538368,0.0,12
C17007,16.840922,0.272727,30.57,0.0,30.57,0.0,0.083333,0.0,0.083333,0.0,0,1,4000.0,501.663366,122.153236,0.0,12
C18745,799.00867,1.0,192.96,0.0,192.96,559.392054,1.0,0.0,1.0,0.333333,5,12,2000.0,691.532728,170.548573,0.0,12
C13759,955.117067,1.0,0.0,0.0,0.0,3798.701398,0.0,0.0,0.0,0.5,13,0,4500.0,2413.364689,284.390966,0.0,12
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12
C12217,226.03038,1.0,435.08,435.08,0.0,0.0,0.916667,0.916667,0.0,0.0,0,15,7500.0,3796.014359,180.308803,0.2,12
C17386,7.097146,0.636364,78.19,0.0,78.19,0.0,0.583333,0.0,0.5,0.0,0,7,5000.0,63.770059,74.625067,0.5,12
C14769,451.23106,1.0,1293.7,725.6,568.1,0.0,1.0,0.916667,0.916667,0.0,0,40,1200.0,894.932094,204.619343,0.0,12
